sample,group,day 0-leaves,day 7-leaves,day 14-leaves,day 21-leaves,day 28-leaves,day 35-leaves,group,Total Leaf Area (cm2),group
1,A,3,4,6,10,12,14,A,0.683,A
2,A,2,4,6,6,7,8,A,0.464,A
3,C,2,5,5,6,6,6,C,0.288,C
4,A,2,4,4,7,6,8,A,0.234,A
5,C,2,4,5,4,6,6,C,0.302,C
6,C,2,4,5,5,6,6,C,0.211,C
7,A,2,6,7,10,10,10,A,0.472,A
8,C,2,5,7,9,10,10,C,0.612,C
9,C,2,4,6,6,6,7,C,0.275,C
10,A,3,6,5,10,19,27,A,1.363,A
11,C,1,2,3,3,3,3,C,0.157,C
12,A,3,5,6,6,5,11,A,0.226,A
13,A,3,6,4,8,11,9,A,0.648,A
14,C,3,6,8,8,9,10,C,0.396,C
15,C,2,4,4,4,5,9,C,0.198,C
16,C,2,4,5,6,7,6,C,0.44,C
17,C,2,2,4,5,9,7,C,0.339,C
18,A,2,4,6,7,9,9,A,0.425,A
19,C,2,3,3,4,4,4,C,0.149,C
20,C,2,6,6,8,9,9,C,0.311,C
21,A,2,2,3,4,6,6,A,0.247,A
22,C,2,4,4,5,6,6,C,0.262,C
23,A,3,3,3,5,5,4,A,0.22,A
24,C,3,4,5,7,7,10,C,0.208,C
25,C,2,3,5,6,6,6,C,0.27,C
26,A,3,6,8,11,12,13,A,0.939,A
27,C,3,8,10,10,10,11,C,0.415,C
28,C,3,6,6,9,11,10,C,0.546,C
29,C,3,6,7,8,8,8,C,0.285,C
30,C,3,6,7,7,8,10,C,0.493,C
31,C,3,5,5,5,7,11,C,0.256,C
32,A,2,7,10,15,23,25,A,1.29,A
33,A,2,5,6,9,9,8,A,0.512,A
34,A,3,5,6,7,7,7,A,0.302,A
35,C,2,2,6,7,7,7,C,0.437,C
36,A,3,4,7,8,8,9,A,0.541,A
37,C,2,3,3,4,4,4,C,0.178,C
38,A,2,4,5,6,8,8,A,0.281,A
39,A,1,6,4,8,12,17,A,0.733,A
40,A,3,6,7,6,8,7,A,0.29,A
41,A,1,2,3,3,4,3,A,0.124,A
42,C,4,8,9,8,10,8,C,0.433,C
43,C,2,5,8,7,10,11,C,0.495,C
44,A,2,4,6,8,10,10,A,0.535,A
45,A,2,3,5,5,7,6,A,0.232,A
46,A,2,6,4,5,6,6,A,0.356,A
47,A,2,6,6,6,7,7,A,0.309,A
48,A,3,5,6,10,14,11,A,0.583,A
49,A,2,3,3,4,4,3,A,0.167,A
50,A,3,6,8,8,8,6,A,0.371,A
51,C,3,6,7,9,9,9,C,0.343,C
52,A,3,4,4,5,5,5,A,0.235,A
53,C,1,2,4,3,4,14,C,0.17,C
54,C,2,5,5,7,8,8,C,0.3,C
55,C,2,3,4,6,6,5,C,0.285,C
56,A,1,4,3,5,6,7,A,0.381,A
57,C,3,3,7,7,7,7,C,0.389,C
58,C,2,2,4,4,5,5,C,0.256,C
59,C,1,3,4,6,6,5,C,0.344,C
60,C,3,5,6,9,9,12,C,0.514,C
61,A,2,4,6,6,7,8,A,0.371,A
62,C,2,4,5,6,7,7,C,0.48,C
63,A,2,4,5,4,4,4,A,0.228,A
64,A,2,3,4,12,14,14,A,0.762,A
65,A,2,4,5,8,9,11,A,0.629,A
66,A,2,4,6,6,7,8,A,0.479,A
67,A,2,5,4,6,7,7,A,0.443,A
68,C,2,5,6,8,8,8,C,0.429,C
69,C,2,3,4,6,7,8,C,0.357,C
70,A,2,4,4,7,7,6,A,0.338,A
71,A,2,3,3,4,4,3,A,0.161,A
72,A,3,4,5,8,10,9,A,0.454,A
73,A,2,3,6,7,7,7,A,0.371,A
74,C,2,4,5,5,6,8,C,0.248,C
75,C,2,5,6,9,9,11,C,0.312,C
76,A,2,4,6,10,14,15,A,0.559,A
77,C,2,4,6,7,7,7,C,0.354,C
78,C,3,5,7,9,10,9,C,0.46,C
79,A,3,6,8,6,7,8,A,0.288,A
80,A,2,4,4,7,9,9,A,0.383,A
81,C,4,4,7,7,10,9,C,0.516,C
82,C,2,4,5,7,8,10,C,0.363,C
83,C,2,3,4,4,5,6,C,0.272,C
84,A,4,4,8,14,14,16,A,0.913,A
85,A,4,6,8,8,7,10,A,0.345,A
86,C,2,3,5,5,6,6,C,0.289,C
87,C,2,3,4,5,5,4,C,0.378,C
88,A,2,4,6,7,8,8,A,0.514,A
89,C,3,6,7,9,10,10,C,0.573,C
90,C,3,5,5,7,7,7,C,0.424,C
91,C,3,4,5,5,4,4,C,0.188,C
92,A,2,5,5,7,7,7,A,0.422,A
93,C,2,6,7,10,10,11,C,0.424,C
94,A,3,6,5,6,6,5,A,0.349,A
95,A,2,5,7,6,8,8,A,0.338,A
96,A,3,5,7,7,10,10,A,0.577,A
97,C,1,2,2,8,12,13,C,0.508,C
98,A,4,6,5,7,7,7,A,0.357,A
99,C,3,4,4,6,6,6,C,0.303,C
100,C,3,4,5,8,8,8,C,0.393,C
101,A,3,6,6,9,10,10,A,0.78,A
102,A,2,3,3,5,6,6,A,0.283,A
103,C,2,2,4,5,5,6,C,0.203,C
104,C,3,3,4,5,6,7,C,0.425,C
105,C,2,6,5,5,7,7,C,0.36,C
106,A,2,4,5,6,8,9,A,0.564,A
107,C,3,5,6,12,15,17,C,0.763,C
108,A,3,4,7,12,17,20,A,0.987,A
109,C,3,5,6,7,8,10,C,0.37,C
110,C,2,2,4,6,8,10,C,0.468,C
111,A,1,3,5,6,10,9,A,0.543,A
112,A,2,5,7,9,10,9,A,0.604,A
113,A,1,3,3,6,7,9,A,0.447,A
114,C,1,4,7,10,14,16,C,1.191,C
115,A,2,6,7,8,9,11,A,0.49,A
116,A,2,6,7,8,10,8,A,0.495,A
117,C,2,2,3,5,7,8,C,0.366,C
118,A,2,6,5,7,9,17,A,0.386,A
119,A,3,6,8,12,17,14,A,1.048,A
120,C,3,4,7,10,11,12,C,0.504,C
121,C,4,4,5,7,8,17,C,0.467,C
122,C,4,4,7,10,13,7,C,0.746,C
123,A,2,3,3,7,6,14,A,0.418,A
124,C,2,5,9,10,13,12,C,0.678,C
125,A,2,3,4,8,11,8,A,0.696,A
126,C,2,3,4,6,9,11,C,0.409,C
127,A,2,2,4,7,10,14,A,0.592,A
128,C,2,4,6,10,10,13,C,0.591,C
129,A,2,4,5,10,11,15,A,0.696,A
130,A,3,7,13,14,14,13,A,0.868,A
131,A,2,6,9,13,13,8,A,0.706,A
132,A,2,5,3,8,7,13,A,0.423,A
133,C,2,4,7,9,11,11,C,0.876,C
134,A,3,4,8,9,8,7,A,0.384,A
135,A,3,5,5,5,8,7,A,0.431,A
136,C,2,4,6,8,8,11,C,0.381,C
137,C,3,4,4,5,7,8,C,0.291,C
138,C,3,6,6,,,,C,,C
139,C,3,5,9,9,11,10,C,0.569,C
140,C,2,2,3,5,6,6,C,0.311,C
141,A,2,5,8,9,10,9,A,0.603,A
142,A,3,5,7,7,11,12,A,0.941,A
143,A,2,3,5,7,10,11,A,0.674,A
144,A,2,4,6,9,11,9,A,0.644,A
145,C,2,2,3,6,7,8,C,0.474,C
146,A,1,3,5,6,8,10,A,0.528,A
147,C,2,3,3,5,7,7,C,0.332,C
148,C,2,3,4,6,10,10,C,0.468,C
149,A,2,4,6,7,9,8,A,0.423,A
150,A,3,5,6,9,8,9,A,0.632,A
151,C,2,5,8,10,11,15,C,0.696,C
152,A,3,5,6,9,13,15,A,0.877,A
153,A,2,8,12,12,13,8,A,0.512,A
154,C,2,6,7,10,12,14,C,0.667,C
155,C,2,4,6,8,9,13,C,0.513,C
156,C,2,3,5,8,10,9,C,0.686,C
157,A,2,4,3,6,8,8,A,0.416,A
158,A,1,3,4,6,6,6,A,0.477,A
159,C,2,4,6,8,11,11,C,0.705,C
160,C,2,3,5,6,8,9,C,0.451,C
161,C,,,,3,3,3,C,0.086,C