"";"img";"healthy";"symptomatic";"file_name"
"1";"img_s001";31,5033297655816;68,4966702344184;"img_s001"
"2";"img_s002";22,4218927015936;77,5781072984064;"img_s002"
"3";"img_s003";18,4847633195487;81,5152366804513;"img_s003"
"4";"img_s004";36,3147037322625;63,6852962677375;"img_s004"
"5";"img_s005";70,0392813146456;29,9607186853543;"img_s005"
"6";"img_s006";33,1929963096063;66,8070036903937;"img_s006"
"7";"img_s007";24,3517115832623;75,6482884167377;"img_s007"
"8";"img_s008";26,5476386413002;73,4523613586998;"img_s008"
"9";"img_s009";10,6260611944166;89,3739388055834;"img_s009"
"10";"img_s010";52,7279559714023;47,2720440285977;"img_s010"
"11";"img_s011";70,8097299949228;29,1902700050772;"img_s011"
"12";"img_s012";19,0544719083643;80,9455280916357;"img_s012"
"13";"img_s013";24,9394802104727;75,0605197895273;"img_s013"
"14";"img_s014";13,4968497316823;86,5031502683177;"img_s014"
"15";"img_s015";27,5172105593565;72,4827894406435;"img_s015"
"16";"img_s016";15,7555556351164;84,2444443648836;"img_s016"
"17";"img_s017";39,0058405966394;60,9941594033606;"img_s017"
"18";"img_s018";7,80799019913204;92,192009800868;"img_s018"
"19";"img_s019";34,3029167647604;65,6970832352396;"img_s019"
"20";"img_s020";35,4597754477127;64,5402245522873;"img_s020"
"21";"img_s021";47,3859151547892;52,6140848452108;"img_s021"
"22";"img_s022";43,8361357655769;56,1638642344231;"img_s022"
"23";"img_s023";14,712686153505;85,287313846495;"img_s023"
"24";"img_s024";40,0294966898566;59,9705033101434;"img_s024"
"25";"img_s025";28,7995892945796;71,2004107054204;"img_s025"
"26";"img_s026";44,9128034719578;55,0871965280422;"img_s026"
"27";"img_s027";10,7929540827215;89,2070459172785;"img_s027"
"28";"img_s028";36,0959361498419;63,9040638501581;"img_s028"
"29";"img_s029";27,747928625965;72,252071374035;"img_s029"
"30";"img_s030";30,7765948188332;69,2234051811668;"img_s030"
"31";"img_s031";65,8950372257011;34,1049627742989;"img_s031"
"32";"img_s032";38,3468471644457;61,6531528355543;"img_s032"
"33";"img_s033";12,4366378693141;87,5633621306859;"img_s033"
"34";"img_s035";53,1667936594008;46,8332063405992;"img_s035"
"35";"img_s036";7,00630995439533;92,9936900456047;"img_s036"
"36";"img_s037";16,2496295938971;83,7503704061029;"img_s037"
"37";"img_s038";64,9398969662278;35,0601030337722;"img_s038"
"38";"img_s039";56,1902435441248;43,8097564558752;"img_s039"
"39";"img_s040";8,90314048646613;91,0968595135339;"img_s040"
"40";"img_s041";24,6185770750988;75,3814229249012;"img_s041"
"41";"img_s042";58,0837091319053;41,9162908680947;"img_s042"
"42";"img_s043";53,1419140433149;46,8580859566851;"img_s043"
"43";"img_s044";19,6108066644564;80,3891933355436;"img_s044"
"44";"img_s045";14,8382840309316;85,1617159690684;"img_s045"
"45";"img_s046";26,0330331407796;73,9669668592204;"img_s046"
"46";"img_s047";31,2407614276204;68,7592385723796;"img_s047"
"47";"img_s048";28,2553337507224;71,7446662492776;"img_s048"
"48";"img_s049";8,40515280323415;91,5948471967659;"img_s049"
"49";"img_s050";3,21244543634513;96,7875545636549;"img_s050"
"50";"img_s051";12,2462124480714;87,7537875519286;"img_s051"
"51";"img_s052";2,73459964494378;97,2654003550562;"img_s052"
"52";"img_s053";43,405669521869;56,594330478131;"img_s053"
"53";"img_s054";36,3939845254096;63,6060154745904;"img_s054"
"54";"img_s055";4,56552161064353;95,4344783893565;"img_s055"
"55";"img_s056";15,5340430321938;84,4659569678062;"img_s056"
"56";"img_s057";48,5344515379804;51,4655484620196;"img_s057"
"57";"img_s058";42,7966212848561;57,2033787151439;"img_s058"
"58";"img_s059";17,4103344531476;82,5896655468524;"img_s059"
"59";"img_s060";33,1258657921878;66,8741342078122;"img_s060"
"60";"img_s061";20,1408587881518;79,8591412118482;"img_s061"
"61";"img_s062";25,0266170048626;74,9733829951374;"img_s062"
"62";"img_s063";7,45826098570856;92,5417390142914;"img_s063"
"63";"img_s064";21,0812554453177;78,9187445546823;"img_s064"
"64";"img_s065";41,379074319977;58,620925680023;"img_s065"
"65";"img_s066";1,29797578185553;98,7020242181445;"img_s066"
"66";"img_s067";5,86020059178419;94,1397994082158;"img_s067"
"67";"img_s068";23,0873302759295;76,9126697240705;"img_s068"
"68";"img_s069";51,4284095996893;48,5715904003107;"img_s069"
"69";"img_s070";45,2622290931365;54,7377709068635;"img_s070"
"70";"img_s071";3,60193892144331;96,3980610785567;"img_s071"
"71";"img_s072";11,526737621762;88,473262378238;"img_s072"
"72";"img_s073";5,78505673035401;94,214943269646;"img_s073"
"73";"img_s074";2,07507703567552;97,9249229643245;"img_s074"
"74";"img_s075";46,273464091768;53,726535908232;"img_s075"
"75";"img_s076";40,5167410309428;59,4832589690572;"img_s076"
"76";"img_s077";44,5659349167239;55,4340650832761;"img_s077"
"77";"img_s078";48,0354206266151;51,9645793733849;"img_s078"
"78";"img_s079";14,7019771842512;85,2980228157488;"img_s079"
"79";"img_s080";46,365232861212;53,634767138788;"img_s080"
"80";"img_s081";60,8736797596329;39,1263202403671;"img_s081"
"81";"img_s082";55,3005844384814;44,6994155615186;"img_s082"
"82";"img_s083";45,1742786391454;54,8257213608546;"img_s083"
"83";"img_s084";36,4692078294458;63,5307921705542;"img_s084"
"84";"img_s085";7,10042507502618;92,8995749249738;"img_s085"
"85";"img_s086";27,2799116456007;72,7200883543993;"img_s086"
"86";"img_s087";54,1221869230385;45,8778130769615;"img_s087"
"87";"img_s088";16,7395595929766;83,2604404070234;"img_s088"
"88";"img_s089";59,4125609578897;40,5874390421103;"img_s089"
"89";"img_s090";47,4955606224585;52,5044393775415;"img_s090"
"90";"img_s091";7,81079081978143;92,1892091802186;"img_s091"
"91";"img_s092";10,480314026593;89,519685973407;"img_s092"
"92";"img_s093";18,2154045295807;81,7845954704193;"img_s093"
"93";"img_s094";6,87237152413491;93,1276284758651;"img_s094"
"94";"img_s095";6,96524000444893;93,0347599955511;"img_s095"
"95";"img_s096";46,3073659532381;53,6926340467619;"img_s096"
"96";"img_s097";43,7249075525372;56,2750924474628;"img_s097"
"97";"img_s098";7,0797882944585;92,9202117055415;"img_s098"
"98";"img_s099";66,3624330948651;33,6375669051349;"img_s099"
"99";"img_s100";6,22308362524227;93,7769163747577;"img_s100"
"100";"img_s101";21,2236647749359;78,7763352250641;"img_s101"
"101";"img_s102";10,9659448156867;89,0340551843133;"img_s102"
"102";"img_s103";19,5796511537926;80,4203488462074;"img_s103"
"103";"img_s104";75,8030361776373;24,1969638223627;"img_s104"
"104";"img_s105";25,2102748904148;74,7897251095852;"img_s105"
"105";"img_s106";21,0983979602095;78,9016020397905;"img_s106"
"106";"img_s107";64,326712929728;35,673287070272;"img_s107"
"107";"img_s108";49,6443466389043;50,3556533610957;"img_s108"
"108";"img_s109";64,7034554351346;35,2965445648654;"img_s109"
"109";"img_s110";69,2597510667304;30,7402489332696;"img_s110"
"110";"img_s111";26,6003120044351;73,3996879955649;"img_s111"
"111";"img_s112";29,1411996908553;70,8588003091447;"img_s112"
"112";"img_s113";14,8620837825002;85,1379162174998;"img_s113"
"113";"img_s114";56,3816679564185;43,6183320435815;"img_s114"
"114";"img_s115";15,2533564313556;84,7466435686444;"img_s115"
"115";"img_s116";31,9354858871472;68,0645141128528;"img_s116"
"116";"img_s117";69,5200700227433;30,4799299772567;"img_s117"
"117";"img_s118";9,13436626161811;90,8656337383819;"img_s118"
"118";"img_s119";45,4710840357173;54,5289159642827;"img_s119"
"119";"img_s120";76,1625776831621;23,8374223168379;"img_s120"
"120";"img_s121";50,5321574017946;49,4678425982054;"img_s121"
"121";"img_s122";78,4876263956968;21,5123736043032;"img_s122"
"122";"img_s123";50,1549791211772;49,8450208788228;"img_s123"
"123";"img_s124";78,1376339081599;21,8623660918401;"img_s124"
"124";"img_s125";45,9061416027308;54,0938583972692;"img_s125"
"125";"img_s126";55,622939452993;44,377060547007;"img_s126"
"126";"img_s127";42,0701157432215;57,9298842567785;"img_s127"
"127";"img_s128";65,0907074812546;34,9092925187454;"img_s128"
"128";"img_s129";57,3409499806794;42,6590500193206;"img_s129"
"129";"img_s130";43,6091719445248;56,3908280554752;"img_s130"
"130";"img_s131";26,8028566932202;73,1971433067798;"img_s131"
"131";"img_s132";6,24675375447494;93,7532462455251;"img_s132"
"132";"img_s133";64,2742238735663;35,7257761264337;"img_s133"
"133";"img_s134";25,9785732512853;74,0214267487147;"img_s134"
"134";"img_s135";11,2365151137537;88,7634848862463;"img_s135"
"135";"img_s136";61,1367212372848;38,8632787627152;"img_s136"
"136";"img_s137";78,2120293216653;21,7879706783347;"img_s137"
"137";"img_s139";55,253493938692;44,746506061308;"img_s139"
"138";"img_s140";71,7225991996479;28,2774008003521;"img_s140"
"139";"img_s141";14,4258867252583;85,5741132747417;"img_s141"
"140";"img_s142";42,0715302883296;57,9284697116704;"img_s142"
"141";"img_s143";37,0462185608334;62,9537814391666;"img_s143"
"142";"img_s144";22,2124655938128;77,7875344061872;"img_s144"
"143";"img_s145";22,5776618721566;77,4223381278434;"img_s145"
"144";"img_s146";72,7892948575057;27,2107051424943;"img_s146"
"145";"img_s147";80,8923507368208;19,1076492631792;"img_s147"
"146";"img_s148";58,0202681734031;41,9797318265969;"img_s148"
"147";"img_s149";12,2047848774244;87,7952151225756;"img_s149"
"148";"img_s150";68,0442861928989;31,9557138071011;"img_s150"
"149";"img_s151";69,3919294707031;30,6080705292969;"img_s151"
"150";"img_s152";25,8736068764596;74,1263931235404;"img_s152"
"151";"img_s153";32,3086262090609;67,6913737909391;"img_s153"
"152";"img_s154";52,0749810035831;47,9250189964169;"img_s154"
"153";"img_s155";70,9723092270502;29,0276907729498;"img_s155"
"154";"img_s156";73,1706141306549;26,8293858693451;"img_s156"
"155";"img_s157";41,9514957163193;58,0485042836807;"img_s157"
"156";"img_s158";45,0566166084833;54,9433833915167;"img_s158"
"157";"img_s159";69,8211829436038;30,1788170563962;"img_s159"
"158";"img_s160";66,2700745964156;33,7299254035844;"img_s160"
"159";"img_s161";85,1165646103232;14,8834353896768;"img_s161"
